scenario_id,driver_id,label,sensitivity_only,nominal_band_covers_target,profile,equivalent_throat_diameter_m,mouth_diameter_m,length_m,body_diameter_m,body_length_m,outer_throat_diameter_mm,radial_gap_mm,throat_area_cm2,compression_ratio,ripple_db,mean_spl_db,spl_500_db,spl_6500_db,level_6500_relative_mid_db,max_excursion_mm,max_throat_speed_m_s
lavoce-maf061-50,lavoce-maf061-50,LaVoce MAF061.50,False,False,hyperbolic,0.06,0.21,0.15,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.668544997362264,11.48363527393738,104.2869493980651,100.0454523143737,96.85677650158044,-9.71705382236047,0.04354543755317179,0.48194893802184413
phl-1660ndm,phl-1660ndm,PHL 1660NdM,False,False,conical,0.047,0.245,0.15,0.064,0.1,79.40403012442127,7.7020150622106325,17.349445429449634,8.645809493448366,11.484753740819357,101.96390381770027,103.31448795230015,92.97533542359686,-10.294279711746867,0.05271696710458156,1.0474529419891345
bc-6pev13,bc-6pev13,BC 6PEV13,False,True,exponential,0.068,0.245,0.125,0.064,0.1,93.38094023943002,14.690470119715005,36.316811075498016,3.6346803612681975,11.484830690416416,103.4563369947274,102.71001579888535,95.70801501997349,-9.851056321710658,0.07259836794201761,0.6023664119901808
lavoce-maf061-50,lavoce-maf061-50,LaVoce MAF061.50,False,False,os,0.068,0.21,0.2,0.064,0.1,93.38094023943002,14.690470119715005,36.316811075498016,3.6346803612681975,11.48617926385765,103.95650520335688,105.7674483372037,96.26521400766674,-9.334408390822617,0.03872036780247757,0.3724322436834138
lavoce-man061-80,lavoce-man061-80,LaVoce MAN061.80,False,False,os,0.042,0.21,0.3,0.064,0.1,76.55063683601855,6.275318418009275,13.85442360233099,9.527642851759719,11.487334358799828,105.32197208819582,102.31062801335435,99.39294355534655,-7.828797868991387,0.03549311978478494,0.8039860893373041
phl-1663,phl-1663,PHL 1663,False,False,conical,0.068,0.28,0.2,0.064,0.1,93.38094023943002,14.690470119715005,36.316811075498016,4.130318592350225,11.491813461648377,102.81877848820828,105.38860844598106,94.58763578952697,-10.601025050235293,0.05743804969950911,0.5347741405484662
beyma-6mi90,beyma-6mi90,Beyma 6MI90,False,True,exponential,0.076,0.245,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,3.086106929759744,11.493537167843982,103.37376030197127,103.39427140182079,95.37908597118471,-10.24495108306165,0.059818038493873404,0.41642879825031626
beyma-6mi90,beyma-6mi90,Beyma 6MI90,False,True,os,0.068,0.245,0.125,0.064,0.1,93.38094023943002,14.690470119715005,36.316811075498016,3.8549640195268764,11.496125590385418,103.53122016901723,100.41943341747887,96.46546530899316,-9.050933508837176,0.054721627529402087,0.4830824289291892
beyma-6mi100,beyma-6mi100,Beyma 6MI100,False,True,exponential,0.042,0.28,0.3,0.064,0.1,76.55063683601855,6.275318418009275,13.85442360233099,10.10507575186637,11.496191209472713,105.96315549443858,102.36540940606419,99.1289000374188,-8.341046525998877,0.03414225296491065,0.8054935539222086
phl-1680ndm-10,phl-1680ndm-10,PHL 1680NdM-10,False,False,conical,0.06,0.28,0.15,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.562441701967667,11.497697361659135,100.69982272855746,102.78545304801793,92.31631679311592,-10.324817672761341,0.06190588834612302,0.6413962923105004
lavoce-maf061-50,lavoce-maf061-50,LaVoce MAF061.50,False,False,exponential,0.052,0.21,0.25,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.2155184876124805,11.500522595467132,104.69231174043703,106.39378744777918,96.76270303667381,-9.519470970632469,0.05179848307030885,0.7313237279514836
bc-6mdn44-8,bc-6mdn44-8,BC 6MDN44,False,False,exponential,0.052,0.21,0.125,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.2155184876124805,11.501613158891715,102.43253184010858,99.75373170932005,94.16637065338149,-10.06885780260177,0.05238302334319649,0.7534212841107709
