profile,equivalent_throat_diameter_m,mouth_diameter_m,length_m,body_diameter_m,body_length_m,outer_throat_diameter_mm,radial_gap_mm,throat_area_cm2,compression_ratio,ripple_db,mean_spl_db,spl_7000_db,level_7000_relative_mid_db,max_excursion_mm,max_throat_speed_m_s,max_input_power_w
conical,0.076,0.32,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,8.195041559401318,106.0895390854452,105.7627005001884,-0.8700121896929431,0.14069105646669638,0.5789385503644724,1.4746659323025761
conical,0.06,0.245,0.25,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.207065629313433,106.17560353125718,105.11696116911621,-1.4089426005745764,0.10607650456662847,0.7101931457846976,1.4610353120085473
os,0.06,0.245,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.314877117292198,106.83924685014013,104.66793481071588,-3.7046399212376286,0.07817696350321589,0.5667648442587258,1.4548126558166605
os,0.076,0.21,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,8.359053210276457,104.68423370662825,102.38599118381204,-3.081537014543599,0.1167435034576649,0.4860926166787484,1.4691203003705198
conical,0.06,0.18,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.458657199116715,104.56335793620428,102.6006166578272,-2.4973496996823457,0.09851745737939226,0.801919828337422,1.4574685655425361
hyperbolic,0.076,0.32,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,8.503509851106372,107.83463541554177,104.94675931911812,-4.1018654655363065,0.09377677666320974,0.39449227919525726,1.4730515036036054
os,0.076,0.18,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,8.519394154690232,103.77147312275501,101.11064588459487,-3.0903562244577643,0.10842760668137472,0.4534712387352792,1.469036227358672
conical,0.052,0.18,0.25,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.121343965072898,8.53653442603175,104.95468849546839,103.16938305686512,-2.0354759067101043,0.08397835248253818,0.8487914917625079,1.4550667947036797
os,0.06,0.18,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.658903407150632,104.88537193213432,102.32550957528282,-3.5477165321999564,0.07527835027249066,0.6652263251564146,1.4601032850858584
os,0.076,0.245,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,8.72891069313296,105.53371674523557,103.50828174606976,-3.288797930445952,0.12421159312227822,0.51530634911238,1.4669616750193446
conical,0.06,0.245,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.750785901602228,106.30338162359665,105.05086584081977,-1.804755811637989,0.09115445593361711,0.7402876960191082,1.4595881164348237
exponential,0.076,0.28,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,8.77276238391481,106.02897248003656,104.6801182571601,-2.2538154110168875,0.13237030484409415,0.5469998625449309,1.4707669831121555
